queryOption,approximateQuery,inputTopicName,radius,k,wInterval,wStep,uniformGridSize,executionCost1, executionCost2, executionCost3,avg_time_sec, numberRecords1, numberRecords2, numberRecords3, avg_records, throughput
86,true,NYCBuildingsLineStrings,0.0005,50,100,50,200,121107, 121036, 121030,121.05766666666668, 19765271, 19394373, 19679883,19613175.666666668, 162015.1470511299
86,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121031, 121039, 121019,121.02966666666667, 19648164, 19710984, 19637212,19665453.333333332, 162484.56989884021
86,true,NYCBuildingsLineStrings,0.05,50,100,50,200,121027, 121010, 121101,121.046, 18142337, 17083561, 17902915,17709604.333333332, 146304.74640494797
86,true,NYCBuildingsLineStrings,0.5,50,100,50,200,123082, 121099, 121088,121.75633333333333, 12114271, 10931289, 8908937,10651499.0, 87482.09401838097
86,true,NYCBuildingsLineStrings,0.005,50,50,50,200,121106, 121069, 121041,121.072, 19650697, 19911557, 19802265,19788173.0, 163441.36546848156
86,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121099, 121105, 121009,121.071, 19953436, 20021212, 19710056,19894901.333333332, 164324.2505086547
86,true,NYCBuildingsLineStrings,0.005,50,150,50,200,121101, 121013, 121047,121.05366666666667, 19869527, 19793370, 19369087,19677328.0, 162550.45007586165
86,true,NYCBuildingsLineStrings,0.005,50,200,50,200,121060, 121052, 121028,121.04666666666667, 19783864, 19751462, 19859972,19798432.666666668, 163560.32934956218
86,true,NYCBuildingsLineStrings,0.005,50,250,50,200,121024, 121078, 121023,121.04166666666667, 19744304, 19221660, 19889149,19618371.0, 162079.48502581756
86,true,NYCBuildingsLineStrings,0.005,50,100,25,200,121018, 121111, 121096,121.075, 19827538, 19889025, 19858089,19858217.333333332, 164015.8359143781
86,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121063, 121044, 121024,121.04366666666667, 19841628, 19696845, 19799317,19779263.333333332, 163406.01601075093
86,true,NYCBuildingsLineStrings,0.005,50,100,75,200,121041, 121038, 121111,121.06333333333333, 19207459, 19797986, 19923217,19642887.333333332, 162252.98604036454
86,true,NYCBuildingsLineStrings,0.005,50,100,100,200,121055, 121008, 121006,121.023, 19875648, 19710219, 19745915,19777260.666666668, 163417.37245537352
86,true,NYCBuildingsLineStrings,0.005,50,100,125,200,121008, 121018, 121089,121.03833333333333, 19839201, 19740560, 19884915,19821558.666666668, 163762.65370474922
86,true,NYCBuildingsLineStrings,0.005,50,100,50,100,121098, 121031, 121074,121.06766666666667, 19839321, 19619158, 19858226,19772235.0, 163315.5700806436
86,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121054, 121026, 121033,121.03766666666667, 19726945, 19661380, 19708100,19698808.333333332, 162749.4058323442
86,true,NYCBuildingsLineStrings,0.005,50,100,50,300,121095, 121010, 121032,121.04566666666668, 19789827, 19754857, 19558566,19701083.333333332, 162757.44416019297
86,true,NYCBuildingsLineStrings,0.005,50,100,50,400,121085, 121036, 121018,121.04633333333332, 19648733, 19446749, 19016229,19370570.333333332, 160026.0809221813
86,true,NYCBuildingsLineStrings,0.005,50,100,50,500,121109, 121053, 121078,121.08, 19466294, 19424281, 18952645,19281073.333333332, 159242.42924788018
91,true,NYCBuildingsLineStrings,0.005,25,100,50,200,121052, 121036, 121010,121.03266666666667, 19637598, 19725678, 19350290,19571188.666666668, 161701.70587554877
91,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121013, 121109, 121041,121.05433333333333, 19832708, 19740693, 19742572,19771991.0, 163331.54258556076
91,true,NYCBuildingsLineStrings,0.005,75,100,50,200,121007, 121056, 121023,121.02866666666667, 19575470, 19747496, 19761644,19694870.0, 162728.96779275432
91,true,NYCBuildingsLineStrings,0.005,100,100,50,200,121020, 121044, 121013,121.02566666666667, 19853266, 19904196, 19758479,19838647.0, 163920.9892116548
91,true,NYCBuildingsLineStrings,0.005,125,100,50,200,121045, 121097, 121030,121.05733333333333, 19834586, 19777142, 19713798,19775175.333333332, 163353.79930170826
91,true,NYCBuildingsLineStrings,0.0005,50,100,50,200,121047, 121024, 121003,121.02466666666668, 20012886, 19951053, 19863912,19942617.0, 164781.4247233346
91,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121037, 121062, 121087,121.062, 19835975, 19822442, 19905945,19854787.333333332, 164005.11583596285
91,true,NYCBuildingsLineStrings,0.05,50,100,50,200,121014, 121015, 121034,121.021, 17874576, 17439395, 18127087,17813686.0, 147194.99921501227
91,true,NYCBuildingsLineStrings,0.5,50,100,50,200,121032, 121039, 121020,121.03033333333333, 11222845, 11167929, 11873073,11421282.333333334, 94367.10631769997
91,true,NYCBuildingsLineStrings,0.005,50,50,50,200,121051, 121012, 120996,121.01966666666667, 18895191, 19887743, 19891748,19558227.333333332, 161611.97491316838
91,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121109, 121018, 121021,121.04933333333332, 19891807, 19841572, 19919327,19884235.333333332, 164265.55013382973
91,true,NYCBuildingsLineStrings,0.005,50,150,50,200,121113, 121066, 121078,121.08566666666667, 20011247, 19895189, 19783794,19896743.333333332, 164319.55887980133
91,true,NYCBuildingsLineStrings,0.005,50,200,50,200,121050, 121039, 120993,121.02733333333333, 19643448, 19627763, 19755829,19675680.0, 162572.20132091374
91,true,NYCBuildingsLineStrings,0.005,50,250,50,200,121053, 121009, 121082,121.048, 19748250, 19333456, 19783988,19621898.0, 162100.1420923931
91,true,NYCBuildingsLineStrings,0.005,50,100,25,200,121038, 121104, 121022,121.05466666666668, 19745006, 19717515, 19686778,19716433.0, 162872.14316396997
91,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121107, 121109, 121109,121.10833333333333, 19721972, 19009901, 19629812,19453895.0, 160632.17504988646
91,true,NYCBuildingsLineStrings,0.005,50,100,75,200,121049, 121078, 120996,121.041, 19867025, 19671060, 19838513,19792199.333333332, 163516.4889032091
91,true,NYCBuildingsLineStrings,0.005,50,100,100,200,121084, 121077, 121032,121.06433333333332, 19795604, 19939402, 19583446,19772817.333333332, 163324.8768561068
91,true,NYCBuildingsLineStrings,0.005,50,100,125,200,121014, 121051, 121056,121.04033333333332, 19618017, 19862946, 19473520,19651494.333333332, 162354.92576854548
91,true,NYCBuildingsLineStrings,0.005,50,100,50,100,121004, 121069, 121015,121.02933333333333, 19760075, 19703402, 19660954,19708143.666666668, 162837.74456880978
91,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121081, 121115, 121102,121.09933333333333, 19716000, 19655313, 19724898,19698737.0, 162665.94090801492
91,true,NYCBuildingsLineStrings,0.005,50,100,50,300,121090, 121019, 121055,121.05466666666668, 19696132, 19619120, 19640543,19651931.666666668, 162339.31502021124
91,true,NYCBuildingsLineStrings,0.005,50,100,50,400,121111, 121039, 121035,121.06166666666667, 19572305, 19620470, 18958940,19383905.0, 160115.96018558036
91,true,NYCBuildingsLineStrings,0.005,50,100,50,500,121078, 120996, 121015,121.02966666666667, 19515887, 19719072, 19461319,19565426.0, 161658.1003555602
82,true,NYCBuildingsLineStrings,0.005,25,100,50,200,121057, 121015, 121069,121.047, 19933061, 20110787, 19911781,19985209.666666668, 165102.89116348748
82,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121066, 121065, 121048,121.05966666666667, 19986173, 19989946, 19990282,19988800.333333332, 165115.27648900403
82,true,NYCBuildingsLineStrings,0.005,75,100,50,200,121040, 121029, 121053,121.04066666666667, 19708674, 19802007, 19754902,19755194.333333332, 163211.21551434504
82,true,NYCBuildingsLineStrings,0.005,100,100,50,200,121106, 121017, 121108,121.077, 19718256, 19796227, 19785913,19766798.666666668, 163258.08094573428
82,true,NYCBuildingsLineStrings,0.005,125,100,50,200,121007, 121071, 121103,121.06033333333333, 19623081, 19795311, 19710943,19709778.333333332, 162809.54950837186
82,true,NYCBuildingsLineStrings,0.0005,50,100,50,200,121091, 121078, 121084,121.08433333333333, 19964221, 19720121, 19568845,19751062.333333332, 163118.23164571248
82,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121032, 121053, 121036,121.04033333333332, 19809576, 19896080, 19936695,19880783.666666668, 164249.24749601376
82,true,NYCBuildingsLineStrings,0.05,50,100,50,200,121010, 121080, 121104,121.06466666666667, 19016722, 19086207, 19161938,19088289.0, 157670.190036179
